source,target,value
Business enterprise sector,Business enterprise sector,15.4
Confederation,Business enterprise sector,0.1
Confederation,Confederation,0.2
Confederation,Higher education and PNP sectors,3.6
Cantons,Business enterprise sector,0.1
Cantons,Higher education and PNP sectors,2.5
Higher education and PNP sectors,Higher education and PNP sectors,0.3
Abroad,Business enterprise sector,1
Abroad,Higher education and PNP sectors,0.3
Business enterprise sector,Higher education and PNP sectors,0.7
Business enterprise sector,Abroad,7.1
Confederation,Abroad,0.3
