iso2,iso3,country,group,year,year_date,var,obs_value,var_code,var_long,var_axis
AL,ALB,Albania,Neighbouring,2020,2020-01-01,1.2.2,2.676282394,top_cited_pubs,Scientific publications among the top 10% most cited,Scientific publications among the top-10% most cited publications worldwide as percentage of total scientific publications of the country
AL,ALB,Albania,Neighbouring,2020,2020-01-01,2.3.2,0.683875087,ict_spec_emp,Employed ICT specialists,ICT specialists (percentage of total employment)
AL,ALB,Albania,Neighbouring,2020,2020-01-01,3.1.1,24.46683306,sme_prod_innov,SMEs introducing product innovations,SMEs introducing product innovation (percentage of SMEs)
AL,ALB,Albania,Neighbouring,2020,2020-01-01,3.1.2,32.43360748,sme_proc_innov,SMEs introducing business process innovations,SMEs introducing business process innovations (percentage of SMEs)
AL,ALB,Albania,Neighbouring,2020,2020-01-01,3.2.1,11.18608177,sme_innov_collab,Innovative SMEs collaborating with others,Innovative SMEs collaborating with others (percentage of SMEs)
AL,ALB,Albania,Neighbouring,2020,2020-01-01,3.2.2,8.384493299,pub_priv_pubs,Public-private co-publications,Public-private publications per million population
AL,ALB,Albania,Neighbouring,2020,2020-01-01,3.3.1,0.134690461,pct_patents,PCT patent applications,PCT patent applications per billion GDP (in PPS)
AL,ALB,Albania,Neighbouring,2020,2020-01-01,3.3.2,0.331789251,trademark_apps,Trademark applications,Trademark applications per billion GDP (in PPS)
AL,ALB,Albania,Neighbouring,2020,2020-01-01,3.3.3,0,design_apps,Design applications,Design applications per billion GDP (in PPS)
AL,ALB,Albania,Neighbouring,2020,2020-01-01,4.2.1,2.664769093,hi_tech_exports,Exports of medium and high technology products,Exports of medium and high technology products as a share of total products exports
AL,ALB,Albania,Neighbouring,2020,2020-01-01,4.2.2,22.1101,know_serv_exports,Knowledge-intensive services exports,Knowledge-intensive services exports as a share of total services exports
AL,ALB,Albania,Neighbouring,2020,2020-01-01,4.3.1,1.1588,resource_prod,Resource productivity,Resource productivity (PPS per kg)
AL,ALB,Albania,Neighbouring,2020,2020-01-01,4.3.3,12.35,env_tech,Environment-related technologies,Development of environment-related technologies, percentage of all technologies
AL,ALB,Albania,Neighbouring,2021,2021-01-01,1.1.2,37.06898748,tert_edu_pop,Population with tertiary education,Percentage population aged 25-34 having completed tertiary education
AL,ALB,Albania,Neighbouring,2021,2021-01-01,1.2.1,135.9824734,intl_sci_pubs,International scientific co-publications,International scientific co-publications per million population
AL,ALB,Albania,Neighbouring,2021,2021-01-01,1.2.2,5.823509583,top_cited_pubs,Scientific publications among the top 10% most cited,Scientific publications among the top-10% most cited publications worldwide as percentage of total scientific publications of the country
AL,ALB,Albania,Neighbouring,2021,2021-01-01,2.3.2,0.920018177,ict_spec_emp,Employed ICT specialists,ICT specialists (percentage of total employment)
AL,ALB,Albania,Neighbouring,2021,2021-01-01,3.2.2,7.730269804,pub_priv_pubs,Public-private co-publications,Public-private publications per million population
AL,ALB,Albania,Neighbouring,2021,2021-01-01,3.3.1,0,pct_patents,PCT patent applications,PCT patent applications per billion GDP (in PPS)
AL,ALB,Albania,Neighbouring,2021,2021-01-01,3.3.2,0.42827152,trademark_apps,Trademark applications,Trademark applications per billion GDP (in PPS)
AL,ALB,Albania,Neighbouring,2021,2021-01-01,3.3.3,0.018428967,design_apps,Design applications,Design applications per billion GDP (in PPS)
AL,ALB,Albania,Neighbouring,2021,2021-01-01,4.2.1,5.281503122,hi_tech_exports,Exports of medium and high technology products,Exports of medium and high technology products as a share of total products exports
AL,ALB,Albania,Neighbouring,2021,2021-01-01,4.2.2,19.3027,know_serv_exports,Knowledge-intensive services exports,Knowledge-intensive services exports as a share of total services exports
AL,ALB,Albania,Neighbouring,2021,2021-01-01,4.3.1,1.1439,resource_prod,Resource productivity,Resource productivity (PPS per kg)
AL,ALB,Albania,Neighbouring,2021,2021-01-01,4.3.3,22.49,env_tech,Environment-related technologies,Development of environment-related technologies, percentage of all technologies
AL,ALB,Albania,Neighbouring,2022,2022-01-01,1.1.2,36.5094382,tert_edu_pop,Population with tertiary education,Percentage population aged 25-34 having completed tertiary education
AL,ALB,Albania,Neighbouring,2022,2022-01-01,1.2.1,149.8370346,intl_sci_pubs,International scientific co-publications,International scientific co-publications per million population
AL,ALB,Albania,Neighbouring,2022,2022-01-01,1.2.2,5.120236833,top_cited_pubs,Scientific publications among the top 10% most cited,Scientific publications among the top-10% most cited publications worldwide as percentage of total scientific publications of the country
AL,ALB,Albania,Neighbouring,2022,2022-01-01,1.3.1,15.7,broadband_pen,Broadband penetration,Broadband penetration
AL,ALB,Albania,Neighbouring,2022,2022-01-01,1.3.2,4.01,adv_digi_skills,Individuals with above basic overall digital skills,Individuals who have above basic overall digital skills (share of population)
AL,ALB,Albania,Neighbouring,2022,2022-01-01,2.2.2,0.044453022,non_rd_innov_exp,Non-R&D innovation expenditures,Non-R&D innovation expenditures (percentage of turnover)
AL,ALB,Albania,Neighbouring,2022,2022-01-01,2.3.2,0.817057711,ict_spec_emp,Employed ICT specialists,ICT specialists (percentage of total employment)
AL,ALB,Albania,Neighbouring,2022,2022-01-01,3.1.1,22.78787453,sme_prod_innov,SMEs introducing product innovations,SMEs introducing product innovation (percentage of SMEs)
AL,ALB,Albania,Neighbouring,2022,2022-01-01,3.1.2,31.10112561,sme_proc_innov,SMEs introducing business process innovations,SMEs introducing business process innovations (percentage of SMEs)
AL,ALB,Albania,Neighbouring,2022,2022-01-01,3.2.1,8.936456938,sme_innov_collab,Innovative SMEs collaborating with others,Innovative SMEs collaborating with others (percentage of SMEs)
AL,ALB,Albania,Neighbouring,2022,2022-01-01,3.2.2,12.72201237,pub_priv_pubs,Public-private co-publications,Public-private publications per million population
AL,ALB,Albania,Neighbouring,2022,2022-01-01,3.3.1,0.038116583,pct_patents,PCT patent applications,PCT patent applications per billion GDP (in PPS)
AL,ALB,Albania,Neighbouring,2022,2022-01-01,3.3.2,0.562331019,trademark_apps,Trademark applications,Trademark applications per billion GDP (in PPS)
